report_id,title,class_rating,county,event_date,latitude,longitude,summary,terrain_roughness_score
8171,Report 8171: Nighttime Sighting on County Road,Class A,Shelby County,2004-05-09,33.3674,-86.64066,Report 8171: Nighttime Sighting on County Road,0.992
8679,Report 8679: Adult recalls childhood sighting at dusk near Moody,Class A,St. Clair County,2004-09-30,33.6205,-86.4664,Report 8679: Adult recalls childhood sighting at dusk near Moody,0.219
10498,Report 10498: Hiker has daylight sighting near Warrior.,Class A,Jefferson County,1979-09-15,33.8132,-86.7891,Report 10498: Hiker has daylight sighting near Warrior.,0.453
14082,Report 14082: Daylight road crossing sighting near Orrville,Class A,Dallas County,2006-09-10,32.30673,-87.24547,Report 14082: Daylight road crossing sighting near Orrville,0.035
15102,Report 15102: Daylight sighting by hunter near the Alabama / Mississippi border,Class A,Franklin County,2006-07-06,31.00002,-86.99782,Report 15102: Daylight sighting by hunter near the Alabama / Mississippi border,0.238
17455,Report 17455: Sighting by duck hunters in swamp area within Tuskegee National Forest,Class A,Macon County,2007-05-19,32.43,-85.705,Report 17455: Sighting by duck hunters in swamp area within Tuskegee National Forest,0.091
17480,Report 17480: Sighting by a group of campers in Cheaha Mountain State Park,Class A,Talladega County,2007-04-22,33.35,-85.625,Report 17480: Sighting by a group of campers in Cheaha Mountain State Park,0.196
18043,Report 18043: Evening sighting by family driving by Guntersville Lake,Class A,Marshall County,1992-08-15,34.27607,-86.17524,Report 18043: Evening sighting by family driving by Guntersville Lake,0.202
22539,Report 22539: Roadside Sighting near Moody,Class A,St. Clair County,2007-07-18,33.59,-86.5,Report 22539: Roadside Sighting near Moody,0.122
24646,Report 24646: Early morning sighting by a fisherman south of Montgomery,Class A,Lowndes County,2001-04-13,32.184,-86.581,Report 24646: Early morning sighting by a fisherman south of Montgomery,0.085
25238,Report 25238: Woman recalls encountering a creature while driving through Talladega National Forest,Class A,Talladega County,1999-11-23,33.36305,-86.17122,Report 25238: Woman recalls encountering a creature while driving through Talladega National Forest,0.123
25559,Report 25559: Exec on business trip has sighting from balcony of hotel near Huntsville,Class A,Madison County,2009-02-24,34.71139,-86.6575,Report 25559: Exec on business trip has sighting from balcony of hotel near Huntsville,0.029
26513,Report 26513: Man recalls a sighting after Hurricane Frederic north of Mobile,Class A,Baldwin County,1979-09-14,30.7113,-87.91833,Report 26513: Man recalls a sighting after Hurricane Frederic north of Mobile,0.217
26886,Report 26886: Daylight sighting while riding ATV on his private property outside Verbena,Class A,Chilton County,2000-05-13,32.76967,-86.4891,Report 26886: Daylight sighting while riding ATV on his private property outside Verbena,0.195
27067,Report 27067: Motorists pulled over on a rural highway at night describe standoff in headlights east of Clayton,Class A,Barbour County,1980-01-12,31.86801,-85.35995,Report 27067: Motorists pulled over on a rural highway at night describe standoff in headlights east of Clayton,0.308
27459,Report 27459: Motorist sights dirty-white upright creature near the town of Kansas,Class A,Walker County,2010-03-12,33.8957,-87.53395,Report 27459: Motorist sights dirty-white upright creature near the town of Kansas,0.179
27480,Report 27480: Woman recounts childhood sighting of a white creature near the town of Kansas,Class A,Walker County,1990-05-15,33.8957,-87.53395,Report 27480: Woman recounts childhood sighting of a white creature near the town of Kansas,0.179
27568,Report 27568: Daylight sighting of a Bigfoot outside Muscle Shoals,Class A,Colbert County,2005-01-12,34.70112,-87.77686,Report 27568: Daylight sighting of a Bigfoot outside Muscle Shoals,0.315
33307,Report 33307: Memory told of a close encounter while riding a bike as a teen in Brewton,Class A,Escambia County,1983-10-14,31.13586,-87.06486,Report 33307: Memory told of a close encounter while riding a bike as a teen in Brewton,0.14
35293,Report 35293: Daylight observation remembered of a Bigfoot holding a baby pig near Andalusia,Class A,Covington County,1978-10-10,31.34781,-86.54527,Report 35293: Daylight observation remembered of a Bigfoot holding a baby pig near Andalusia,0.153
35475,Report 35475: Daylight road crossing near Vernon,Class A,Lamar County,2012-05-21,33.41574,-88.12475,Report 35475: Daylight road crossing near Vernon,0.097
37038,Report 37038: Nighttime sighting of a tall blonde biped crossing Hwy. 45 north of Fruitdale,Class A,Washington County,2008-02-15,31.25385,-88.26291,Report 37038: Nighttime sighting of a tall blonde biped crossing Hwy. 45 north of Fruitdale,0.046
37094,Report 37094: Multiple sightings close to Lookout Mountain near Gadsden,Class A,Etowa County,2012-11-01,33.82162,-85.48985,Report 37094: Multiple sightings close to Lookout Mountain near Gadsden,0.245
39383,Report 39383: Kayaker has rocks thrown and observes the culprit near Union Grove,Class A,Morgan County,2012-08-15,34.32279,-86.5045,Report 39383: Kayaker has rocks thrown and observes the culprit near Union Grove,0.144
40417,Report 40417: Nighttime encounters close to home near Morgan,Class A,Morgan County,2013-03-16,34.47091,-86.56954,Report 40417: Nighttime encounters close to home near Morgan,0.026
40912,Report 40912: Deer hunter hears then sees large hair-covered biped near the Morgan County line,Class A,Cullman County,2013-01-23,34.29511,-86.88621,Report 40912: Deer hunter hears then sees large hair-covered biped near the Morgan County line,0.11
42939,Report 42939: Late afternoon sighting by a bow hunter in his tree stand south of Clanton,Class A,Chilton County,2013-10-15,32.48322,-86.37698,Report 42939: Late afternoon sighting by a bow hunter in his tree stand south of Clanton,0.078
43689,Report 43689: Night fisherman first hears and then observes two Bigfoots in his spotlight near Birmingham,Class A,Jefferson County,2013-10-02,33.55153,-86.98473,Report 43689: Night fisherman first hears and then observes two Bigfoots in his spotlight near Birmingham,0.104
44487,Report 44487: Memory told of a close dalylight observation outside Alexander City,Class A,Tallapoosa County,2014-03-30,32.91874,-85.9793,Report 44487: Memory told of a close dalylight observation outside Alexander City,0.207
44849,Report 44849: Sightings at night in the same area off Bone Camp Road near Northport,Class A,Tuscaloosa County,2014-12-27,33.37095,-87.6942,Report 44849: Sightings at night in the same area off Bone Camp Road near Northport,0.1
44986,"Report 44986: Memory told of a close up daylight encounter with two, possibly young, Bigfoots near Abbeville",Class A,Henry County,2014-12-31,31.651,-85.19265,"Report 44986: Memory told of a close up daylight encounter with two, possibly young, Bigfoots near Abbeville",0.201
45296,Report 45296: Motorist observes a Bigfoot chasing a deer at night near Bremen,Class A,Cullman County,2014-06-09,34.00806,-86.96416,Report 45296: Motorist observes a Bigfoot chasing a deer at night near Bremen,0.247
45464,Report 45464: Motorist has a daylight sighting on Hwy. 9 east of Cedar Bluff,Class A,Cherokee County,2014-06-17,34.14117,-85.22781,Report 45464: Motorist has a daylight sighting on Hwy. 9 east of Cedar Bluff,0.5
46746,Report 46746: Nighttime sighting by a motorist west of Newville,Class A,Henry County,2014-09-17,31.23374,-85.21574,Report 46746: Nighttime sighting by a motorist west of Newville,0.118
47975,Report 47975: Motorist observes a tall biped with an ape-like face while driving at dusk near Ariton,Class A,Coffee County,2013-01-28,31.53475,-85.7944,Report 47975: Motorist observes a tall biped with an ape-like face while driving at dusk near Ariton,0.205
50178,Report 50178: Recollection of a roadside sighting of a white Bigfoot near Blount Springs,Class A,Blount County,2014-01-14,33.89833,-86.84557,Report 50178: Recollection of a roadside sighting of a white Bigfoot near Blount Springs,0.551
65679,Report 65679: Afternoon sighting of a bigfoot by motorist on Hwy 17 just north of Deer Park,Class A,Washington County,2020-04-16,31.24305,-88.31126,Report 65679: Afternoon sighting of a bigfoot by motorist on Hwy 17 just north of Deer Park,0.129
67423,Report 67423: Sighting of a Sasquatch crossing forest road off I-20 near AL/GA state border.,Class A,Cleburne County,2020-06-15,33.64341,-85.41961,Report 67423: Sighting of a Sasquatch crossing forest road off I-20 near AL/GA state border.,0.195
75577,"Report 75577: Daylight sighting, 2 witnesses, outside Heflin 10 miles from GA border off I-20",Class A,Cleburne County,2023-02-09,33.65175,-85.52335,"Report 75577: Daylight sighting, 2 witnesses, outside Heflin 10 miles from GA border off I-20",0.168
79523,Report 79523: Motorist reports 3am road crossing sighting on Hwy 40 across Tennessee River from Scottsboro,Class A,Jackson County,2012-04-08,34.64636,-85.94837,Report 79523: Motorist reports 3am road crossing sighting on Hwy 40 across Tennessee River from Scottsboro,
186,Report 186: Two boys are chased by sasquatch,Class A,Saline County,2001-08-11,34.55056,-92.34083,Report 186: Two boys are chased by sasquatch,0.067
1636,Report 1636: Teenager has sighting near Ozark National Forest,Class A,Baxter County,1972-11-05,36.19444,-92.38222,Report 1636: Teenager has sighting near Ozark National Forest,0.051
1637,Report 1637: Backyard sighting near Mountain Home.,Class A,Baxter County,1995-05-15,36.33528,-92.385,Report 1637: Backyard sighting near Mountain Home.,0.213
1640,Report 1640: Nightime sighting by motorists on Hwy 7 North,Class A,Hot Spring County,1996-10-15,34.08,-93.0,Report 1640: Nightime sighting by motorists on Hwy 7 North,0.033
1641,"Report 1641: From top of hill, hunter observes bipedal creature following a fence row",Class A,Hot Spring County,1998-10-29,34.25,-93.1,"Report 1641: From top of hill, hunter observes bipedal creature following a fence row",0.111
1944,Report 1944: Family has multiple encounters with white bigfoot creature,Class A,Little River County,1969-08-16,33.76986,-94.3643,Report 1944: Family has multiple encounters with white bigfoot creature,0.06
2494,Report 2494: Bus driver encounters ape like creature during an unscheduled stop,Class A,Lonoke County,2001-08-11,34.787,-91.735,Report 2494: Bus driver encounters ape like creature during an unscheduled stop,0.025
2774,Report 2774: Large bipedal animal observes couple parking behind school gymnasium,Class A,Greene County,1988-01-10,36.12083,-90.51056,Report 2774: Large bipedal animal observes couple parking behind school gymnasium,0.073
2931,"Report 2931: Daylight sighting outside rural home in small community of Herbine, south of Rison",Class A,Cleveland County,2001-07-29,33.82111,-92.03389,"Report 2931: Daylight sighting outside rural home in small community of Herbine, south of Rison",0.142
2957,Report 2957: Youths riding in back of pick-up have close observation of large biped crossing road,Class A,Madison County,1970-06-15,35.9975,-93.83426,Report 2957: Youths riding in back of pick-up have close observation of large biped crossing road,
3226,Report 3226: Man finds 3-toed prints &amp; wife has sighting,Class A,Pope County,1998-11-15,35.42097,-93.15208,Report 3226: Man finds 3-toed prints &amp; wife has sighting,0.374
3519,Report 3519: Man working in wooded area sees bipedal animal standing on railroad tracks,Class A,Clark County,1984-04-17,33.88861,-93.20389,Report 3519: Man working in wooded area sees bipedal animal standing on railroad tracks,0.026
4090,Report 4090: Sighting in wheat field near Fouke,Class A,Miller County,2000-01-15,33.26666,-93.886,Report 4090: Sighting in wheat field near Fouke,0.136
4093,Report 4093: Daytime sighting between Pocahontas and Imboden,Class A,Randolph County,1977-09-25,36.19791,-91.1125,Report 4093: Daytime sighting between Pocahontas and Imboden,0.329
4094,Report 4094: Late night encounter near Benton,Class A,Saline County,1994-10-15,34.56444,-92.58667,Report 4094: Late night encounter near Benton,0.064
5228,Report 5228: Motorist has nighttime sighting of bipedal animal at roadside,Class A,Fulton County,1997-03-14,36.37111,-91.87,Report 5228: Motorist has nighttime sighting of bipedal animal at roadside,0.048
5316,Report 5316: Daytime sighting by hiker near Spring Creek.,Class A,Washington County,2002-10-10,36.20611,-94.23417,Report 5316: Daytime sighting by hiker near Spring Creek.,0.143
5607,Report 5607: Driver narrowly misses creature darting across mountainous stretch of highway,Class A,Polk County,1998-07-07,34.70694,-94.45417,Report 5607: Driver narrowly misses creature darting across mountainous stretch of highway,1.0
6178,Report 6178: Motorist crossing a bridge sees sasquatch digging in the dirt below,Class A,Benton County,2004-04-04,36.18333,-94.44694,Report 6178: Motorist crossing a bridge sees sasquatch digging in the dirt below,
6932,Report 6932: Duck hunter observes apelike creature across White River,Class A,Independence County,1999-11-15,35.64861,-91.45889,Report 6932: Duck hunter observes apelike creature across White River,0.07
7045,Report 7045: Man riding 4-wheeler observes a bigfoot reaching into a tree,Class A,Benton County,2003-10-31,36.34167,-93.94583,Report 7045: Man riding 4-wheeler observes a bigfoot reaching into a tree,0.208
7234,Report 7234: Daylight sighting by two sisters near their farm in the early 1960s,Class A,Lee County,1961-10-15,34.88111,-91.08056,Report 7234: Daylight sighting by two sisters near their farm in the early 1960s,0.007
7815,Report 7815: Man while checking spooked cattle with his grandfather observes 8'-9' bipedal animal leaning against tree,Class A,Pope County,2003-08-12,35.27833,-93.13361,Report 7815: Man while checking spooked cattle with his grandfather observes 8'-9' bipedal animal leaning against tree,0.021
7971,Report 7971: Coon hunter and dogs experience close encounter in Sulphur River bottoms between Doddridge and Fouke.,Class A,Miller County,2004-02-19,33.18639,-93.9475,Report 7971: Coon hunter and dogs experience close encounter in Sulphur River bottoms between Doddridge and Fouke.,0.003
8420,Report 8420: Early morning motorist driving to work sees bipedal animal running through field,Class A,Saline County,2004-04-03,34.53167,-92.40778,Report 8420: Early morning motorist driving to work sees bipedal animal running through field,0.052
8527,"Report 8527: Man has extraordinary, close encounter while fishing near Huntington",Class A,Sebastian County,2004-04-23,35.09306,-94.356,"Report 8527: Man has extraordinary, close encounter while fishing near Huntington",0.16
8913,Report 8913: Late night sighting by motorist,Class A,Desha County,2001-05-15,33.7985,-91.27056,Report 8913: Late night sighting by motorist,0.016
9507,Report 9507: Roadside sighting near Eureka Springs,Class A,Carroll County,1994-07-16,36.41,-93.74,Report 9507: Roadside sighting near Eureka Springs,0.668
9753,Report 9753: Animal peers into youngster's bedroom window,Class A,Jackson County,1986-07-15,35.44944,-91.51306,Report 9753: Animal peers into youngster's bedroom window,0.306
10913,Report 10913: Squirrel Hunter has encounter south of El Dorado,Class A,Union County,2002-11-05,33.14663,-92.61493,Report 10913: Squirrel Hunter has encounter south of El Dorado,0.107
10919,Report 10919: Youth has sighting from his backyard on Air Force Base,Class A,Pulaski County,1975-09-15,34.87,-92.12,Report 10919: Youth has sighting from his backyard on Air Force Base,0.058
11430,Report 11430: Two young men have a sighting while spelunking near Huntsville.,Class A,Madison County,1981-07-15,36.31519,-93.75723,Report 11430: Two young men have a sighting while spelunking near Huntsville.,0.382
11632,Report 11632: 4' - 5.5' upright animal seen crossing dead-end road.,Class A,Union County,2005-05-07,33.26462,-92.64066,Report 11632: 4' - 5.5' upright animal seen crossing dead-end road.,0.113
13211,Report 13211: Early morning sighting by resident along Highway 7 near Bismarck.,Class A,Hot Spring County,2005-12-04,34.285,-93.162,Report 13211: Early morning sighting by resident along Highway 7 near Bismarck.,0.067
13718,Report 13718: Man tells of two-legged animal crossing road in front of his car east of Paris,Class A,Logan County,1986-06-01,35.34572,-93.75313,Report 13718: Man tells of two-legged animal crossing road in front of his car east of Paris,0.091
13983,Report 13983: Possible sighting by fisherman at Blue Lake.,Class A,Crittenden County,1980-06-15,35.0194,-90.32,Report 13983: Possible sighting by fisherman at Blue Lake.,0.049
16696,Report 16696: Dusk sighting and vocalizations around property near Cove,Class A,Polk County,2004-10-15,34.369,-94.3745,Report 16696: Dusk sighting and vocalizations around property near Cove,0.108
24254,Report 24254: Woman remembers she and a male friend watching an upright creature walking on the edge of moonlit Lake Hamilton,Class A,Garland County,1992-06-14,34.44652,-93.07654,Report 24254: Woman remembers she and a male friend watching an upright creature walking on the edge of moonlit Lake Hamilton,0.19
26100,Report 26100: Truck driver sees a tall red eyed creature south of Fouke near the Sulphur River,Class A,Miller County,1996-11-15,33.14759,-93.89135,Report 26100: Truck driver sees a tall red eyed creature south of Fouke near the Sulphur River,0.02
27482,Report 27482: Man recalls incident while camping as a teenager near Cedarville,Class A,Crawford County,2010-03-23,35.36335,-94.229,Report 27482: Man recalls incident while camping as a teenager near Cedarville,0.008
27948,Report 27948: Motorist has nighttime sighting on a mountain road north of Flippin,Class A,Marion County,2004-01-14,36.29871,-92.63179,Report 27948: Motorist has nighttime sighting on a mountain road north of Flippin,0.396
29417,Report 29417: Deer hunter has a late afternoon sighting through his rifle scope in the Winona Wildlife Management Area,Class A,Saline County,2010-11-18,34.73147,-92.75093,Report 29417: Deer hunter has a late afternoon sighting through his rifle scope in the Winona Wildlife Management Area,0.193
36178,Report 36178: Motorist has nighttime sighting near Lake Village,Class A,Chicot County,2012-07-29,33.26855,-91.22115,Report 36178: Motorist has nighttime sighting near Lake Village,0.042
36498,Report 36498: Pre-dawn sighting on a rural road near Fouke,Class A,Miller County,2012-09-13,33.33171,-93.98622,Report 36498: Pre-dawn sighting on a rural road near Fouke,0.188
38015,Report 38015: Motorist observes three bigfoots crossing before him at night east of Harrison,Class A,Marion County,2012-12-04,36.14065,-92.52505,Report 38015: Motorist observes three bigfoots crossing before him at night east of Harrison,0.672
40020,Report 40020: Man has a close daytime encounter with a probable Bigfoot family outside Hardy,Class A,Fulton County,2008-01-15,36.33205,-91.52025,Report 40020: Man has a close daytime encounter with a probable Bigfoot family outside Hardy,0.872
40101,Report 40101: Motorist views large bipedal animal squatting at night beside I-40 near Marche.,Class A,Pulaski County,2012-12-07,34.86535,-92.3575,Report 40101: Motorist views large bipedal animal squatting at night beside I-40 near Marche.,0.021
41827,Report 41827: Motorist has close encounter on Mallard Point Road near Lake Norfork,Class A,Baxter County,2009-02-15,36.38605,-92.30614,Report 41827: Motorist has close encounter on Mallard Point Road near Lake Norfork,0.315
46380,"Report 46380: Mother &amp; daughter have unusual, close-up encounter on the road at night near Newark",Class A,Independence County,2011-11-24,35.703,-91.46231,"Report 46380: Mother &amp; daughter have unusual, close-up encounter on the road at night near Newark",0.222
50541,Report 50541: Motorist has a close sighting at dusk on AR-258 outside Bald Knob,Class A,White County,2015-12-28,35.34737,-91.60007,Report 50541: Motorist has a close sighting at dusk on AR-258 outside Bald Knob,0.054
55376,Report 55376: Two fishermen have close-up sighting while driving home at night from Norfork Lake,Class A,Baxter County,2003-12-15,36.37399,-92.27071,Report 55376: Two fishermen have close-up sighting while driving home at night from Norfork Lake,0.68
55410,"Report 55410: Deer hunter encounters several Bigfoots, possibly a family unit, near Searcy",Class A,White County,2015-11-26,35.255,-91.50301,"Report 55410: Deer hunter encounters several Bigfoots, possibly a family unit, near Searcy",0.001
56108,Report 56108: Sighting at dusk by a Retired Police Officer with Anthropology Degree,Class A,Polk County,2016-12-02,34.4125,-94.1125,Report 56108: Sighting at dusk by a Retired Police Officer with Anthropology Degree,1.0
56735,Report 56735: Motorist has daytime sighting while driving past Joseph T. Robinson military base,Class A,Pulaski County,2017-02-10,34.85324,-92.25454,Report 56735: Motorist has daytime sighting while driving past Joseph T. Robinson military base,0.283
56954,Report 56954: Two young hunters hide and watch hairy bipedal animal walking near the Jenkins Ferry Battleground Historical Monument,Class A,Grant County,1973-04-15,34.20873,-92.57542,Report 56954: Two young hunters hide and watch hairy bipedal animal walking near the Jenkins Ferry Battleground Historical Monument,0.004
57471,Report 57471: Memory told of a close daylight encounter with a white Bigfoot while riding a motorcycle inside Camp Joseph T. Robinson,Class A,Pulaski County,1976-09-15,34.92336,-92.30519,Report 57471: Memory told of a close daylight encounter with a white Bigfoot while riding a motorcycle inside Camp Joseph T. Robinson,0.147
59736,"Report 59736: Motorists (father &amp; son) close range, daylight, road crossing sighting along Mounds Rd. outside West Mephis",Class A,Crittenden County,2006-06-17,35.738,-90.1355,"Report 59736: Motorists (father &amp; son) close range, daylight, road crossing sighting along Mounds Rd. outside West Mephis",0.007
62340,Report 62340: Daylight sighting of grey-white Sasquatch ~15mi west of Russellville,Class A,Logan County,1976-08-14,35.186,-93.206,Report 62340: Daylight sighting of grey-white Sasquatch ~15mi west of Russellville,0.087
62625,Report 62625: Daylight sighting by two hikers at trailhead for Hideout Hollow in Buffalo National River.,Class A,Newton County,2018-07-22,36.042,-93.1545,Report 62625: Daylight sighting by two hikers at trailhead for Hideout Hollow in Buffalo National River.,0.808
62678,Report 62678: Father and two sons see a sasquatch near Holiday Island,Class A,Carroll County,1997-05-10,36.3025,-93.448,Report 62678: Father and two sons see a sasquatch near Holiday Island,1.0
62851,Report 62851: Woman experienced terrifying close encounter as a child and later as a teenager.,Class A,Hempstead County,1978-05-15,33.66554,-93.56799,Report 62851: Woman experienced terrifying close encounter as a child and later as a teenager.,0.049
63860,Report 63860: Two witnesses observe a Sasquatch at dusk in the White River National Wildlife Refuge,Class A,Desha County,1979-06-14,34.17376,-91.07266,Report 63860: Two witnesses observe a Sasquatch at dusk in the White River National Wildlife Refuge,0.056
63984,Report 63984: Night fisherman sees a reddish Sasquatch running near Red River,Class A,Little River County,1990-06-17,33.387,-94.036,Report 63984: Night fisherman sees a reddish Sasquatch running near Red River,0.162
78325,Report 78325: Duck Hunter Encounter with a Bigfoot near Black River 30 miles NW of Jonesboro,Class A,Lawrence County,2012-12-15,35.94871,-91.21842,Report 78325: Duck Hunter Encounter with a Bigfoot near Black River 30 miles NW of Jonesboro,0.036
440,Report 440: A daylight sighting report by an ex soldier,Class A,Cochise County,2000-10-10,31.99003,-110.1835,Report 440: A daylight sighting report by an ex soldier,0.07
3482,"Report 3482: Nighttime sighting by motorists on Hwy 87 in Jacks Canyon, 30 miles south of Winslow",Class A,Coconino County,2000-12-24,34.90831,-110.8403,"Report 3482: Nighttime sighting by motorists on Hwy 87 in Jacks Canyon, 30 miles south of Winslow",0.064
6552,Report 6552: Bigfoot crosses road in front of vehicle traveling on Navajo Route 7 near Canyon De Chelley National Monument,Class A,Apache County,2001-06-17,36.09081,-109.4276,Report 6552: Bigfoot crosses road in front of vehicle traveling on Navajo Route 7 near Canyon De Chelley National Monument,1.0
7495,"Report 7495: Night time road crossing near Strawberry, Arizona",Class A,Gila County,1983-12-30,34.4,-111.5,"Report 7495: Night time road crossing near Strawberry, Arizona",0.445
7566,Report 7566: Bow hunter has daylight sighting near Alpine.,Class A,Greenlee County,1993-09-04,33.6247,-109.3191,Report 7566: Bow hunter has daylight sighting near Alpine.,0.88
8685,Report 8685: Morning sighting in the Lukachukai Mountains of northeast Arizona,Class A,Apache County,1981-11-07,36.54165,-109.29,Report 8685: Morning sighting in the Lukachukai Mountains of northeast Arizona,1.0
11514,Report 11514: Evening sighting by motorists north of Flagstaff.,Class A,Coconino County,1990-07-01,35.656,-111.938,Report 11514: Evening sighting by motorists north of Flagstaff.,0.13
16580,Report 16580: Afternoon road-crossing sighting by motorist on RT 61 near Concho,Class A,Apache County,2006-10-26,34.325,-109.64,Report 16580: Afternoon road-crossing sighting by motorist on RT 61 near Concho,0.216
17448,Report 17448: A close range road crossing on a foggy morning near Safford,Class A,Graham County,2007-01-22,32.815,-109.675,Report 17448: A close range road crossing on a foggy morning near Safford,0.03
17804,Report 17804: Late afternoon road crossing sighting by motorist west of Springerville.,Class A,Apache County,2007-02-01,34.6,-109.44,Report 17804: Late afternoon road crossing sighting by motorist west of Springerville.,0.015
18723,"Report 18723: Late night multi-witness, road-crossing sighting near Bartlett Lake.",Class A,Maricopa County,1995-07-15,33.85,-111.69,"Report 18723: Late night multi-witness, road-crossing sighting near Bartlett Lake.",0.988
19339,Report 19339: Late afternoon road crossing near Cibecue (Fort Apache Reservation),Class A,Navajo County,2006-10-15,33.99989,-110.4298,Report 19339: Late afternoon road crossing near Cibecue (Fort Apache Reservation),0.39
